1,TitlingGothicFB-Skyline,Regular,-1,1,0,TitlingGothicFBSkyline-Regular-200.vlw
2,FoundersGroteskXCond,Bold,-0.67,-1,0,FoundersGroteskXCond-Lt-200.vlw
3,GrotesqueMTStd,ExtraCond,-0.67,0.33,0, GrotesqueMTStd-ExtraCond-200.vlw
4,FranklinGothicStd,Condensed, -0.67,-0.33,0,FranklinGothicStd-Condensed-200.vlw
5,GrotesqueMTStd,Condensed,-0.33,0.33,0, GrotesqueMTStd-Condensed-200.vlw
6,FoundersGroteskXCond,Bold,-0.33,-1,0, FoundersGroteskXCond-Bold-200.vlw
7,HelsinkiXXL,Black,-0.33,-0.33,0,HelsinkiXXL-Black-200.vlw
8,GrotesqueMTStd,Black,-0.33,0.33,0,GrotesqueMTStd-200.vlw
9,HelveticaNeue,Bold,0,0,0,Helvetica-Bold-200.vlw
10,StolzlDisplay,Bold,0.33,-0.67,0,StolzlDisplay-Bold-200.vlw
11,Outsiders,Bold,0.33,-0.67,1,Outsiders-Bold-200.vlw
12,FranklinGothicStd,Roman,0.67,0.67,0,FranklinGothicStd-Roman-200.vlw
13,BodoniPosterSSi,,0.67,-0.67,2,BodoniPosterSSi-200.vlw
14,TitlingGothicFB,Wide,1,1,0,TitlingGothicFBWide-Regular-200.vlw
15,TitlingGothicFB,Extended,1,0,0,TitlingGothicFBExtended-Medium-200.vlw
